iShares Expanded Tech-Software Sector ETF
Fund Holdings as of,"Sep 01, 2026"
Inception Date,"Jul 10, 2001"
Shares Outstanding,"142,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"DOCU","DOCUSIGN","Information Technology","Equity","59,428,400.00","0.41","59,428,400.00","919,375.00","64.64","United States","NASDAQ","USD","1.00","USD","-"
"ESTC","ELASTIC","Information Technology","Equity","39,823,323.65","0.28","39,823,323.65","431,035.00","92.39","United States","NYSE","USD","1.00","USD","-"
"IDCC","INTERDIGITAL INC","Information Technology","Equity","39,127,608.80","0.27","39,127,608.80","122,312.00","319.90","United States","NASDAQ","USD","1.00","USD","-"
"HUT","HUT CORP","Information Technology","Equity","36,895,162.09","0.26","36,895,162.09","475,637.00","77.57","United States","NASDAQ","USD","1.00","USD","-"
"PATH","UIPATH INC CLASS A","Information Technology","Equity","36,660,341.38","0.25","36,660,341.38","2,020,967.00","18.14","United States","NYSE","USD","1.00","USD","-"
"PCOR","PROCORE TECHNOLOGIES INC","Information Technology","Equity","33,185,988.36","0.23","33,185,988.36","549,801.00","60.36","United States","NYSE","USD","1.00","USD","-"
"DSGX","DESCARTES SYSTEMS GROUP","Information Technology","Equity","32,738,468.49","0.23","32,738,468.49","407,043.00","80.43","Canada","NASDAQ","USD","1.00","USD","-"
"S","SENTINELONE INC CLASS A","Information Technology","Equity","32,604,539.09","0.23","32,604,539.09","1,580,443.00","20.63","United States","NYSE","USD","1.00","USD","-"
"AUR","AURORA INNOVATION CLASS A","Information Technology","Equity","32,584,253.52","0.23","32,584,253.52","5,967,812.00","5.46","United States","NASDAQ","USD","1.00","USD","-"
"GTLB","GITLAB CLASS A","Information Technology","Equity","30,910,006.62","0.21","30,910,006.62","685,518.00","45.09","United States","NASDAQ","USD","1.00","USD","-"
"ZETA","ZETA GLOBAL HOLDINGS CLASS A","Information Technology","Equity","30,663,727.56","0.21","30,663,727.56","971,601.00","31.56","United States","NYSE","USD","1.00","USD","-"
"QLYS","QUALYS","Information Technology","Equity","29,505,619.89","0.20","29,505,619.89","166,689.00","177.01","United States","NASDAQ","USD","1.00","USD","-"
"QBTS","D WAVE QUANTUM","Information Technology","Equity","28,703,846.80","0.20","28,703,846.80","1,735,420.00","16.54","United States","NASDAQ","USD","1.00","USD","-"
"WULF","TERAWULF","Information Technology","Equity","27,826,166.05","0.19","27,826,166.05","1,899,397.00","14.65","United States","NASDAQ","USD","1.00","USD","-"
"SNAP","SNAP INC CLASS A","Communication","Equity","27,352,014.10","0.19","27,352,014.10","5,112,526.00","5.35","United States","NYSE","USD","1.00","USD","-"
"OTEX","OPEN TEXT","Information Technology","Equity","27,328,364.16","0.19","27,328,364.16","1,146,324.00","23.84","Canada","NASDAQ","USD","1.00","USD","-"
"RIOT","RIOT PLATFORMS","Information Technology","Equity","27,154,460.31","0.19","27,154,460.31","1,526,389.00","17.79","United States","NASDAQ","USD","1.00","USD","-"
"TTAN","SERVICETITAN CLASS A","Information Technology","Equity","26,537,772.60","0.18","26,537,772.60","278,028.00","95.45","United States","NASDAQ","USD","1.00","USD","-"
"APPF","APPFOLIO CLASS A","Information Technology","Equity","25,613,885.44","0.18","25,613,885.44","113,698.00","225.28","United States","NASDAQ","USD","1.00","USD","-"
"CVLT","COMMVAULT SYSTEMS","Information Technology","Equity","25,214,672.00","0.17","25,214,672.00","195,160.00","129.20","United States","NASDAQ","USD","1.00","USD","-"
"BSY","BENTLEY SYSTEMS INC CLASS B","Information Technology","Equity","25,127,024.78","0.17","25,127,024.78","705,419.00","35.62","United States","NASDAQ","USD","1.00","USD","-"
"RNG","RINGCENTRAL INC CLASS A","Information Technology","Equity","24,810,900.45","0.17","24,810,900.45","350,585.00","70.77","United States","NYSE","USD","1.00","USD","-"
"ACIW","ACI WORLDWIDE","Information Technology","Equity","24,644,806.26","0.17","24,644,806.26","481,062.00","51.23","United States","NASDAQ","USD","1.00","USD","-"
"CRCL","CIRCLE INTERNET GROUP CLASS A","Information Technology","Equity","24,333,728.08","0.17","24,333,728.08","271,946.00","89.48","United States","NYSE","USD","1.00","USD","-"
"DBX","DROPBOX INC CLASS A","Information Technology","Equity","24,283,419.48","0.17","24,283,419.48","708,798.00","34.26","United States","NASDAQ","USD","1.00","USD","-"
"CORZ","CORE SCIENTIFIC INC","Information Technology","Equity","24,172,606.49","0.17","24,172,606.49","1,504,207.00","16.07","United States","NASDAQ","USD","1.00","USD","-"
"BOX","BOX INC CLASS A","Information Technology","Equity","23,034,863.04","0.16","23,034,863.04","655,144.00","35.16","United States","NYSE","USD","1.00","USD","-"
"VRNS","VARONIS SYSTEMS","Information Technology","Equity","23,009,559.65","0.16","23,009,559.65","543,319.00","42.35","United States","NASDAQ","USD","1.00","USD","-"
"CIFR","CIPHER DIGITAL INC","Information Technology","Equity","20,927,101.02","0.14","20,927,101.02","1,432,382.00","14.61","United States","NASDAQ","USD","1.00","USD","-"
"BB","BLACKBERRY","Information Technology","Equity","20,025,412.92","0.14","20,025,412.92","2,557,524.00","7.83","Canada","NYSE","USD","1.00","USD","-"
"BILL","BILL HOLDINGS","Information Technology","Equity","19,974,637.58","0.14","19,974,637.58","419,459.00","47.62","United States","NYSE","USD","1.00","USD","-"
